시설명,구분,차고지명,주차대수,상세주소
민간,동부,가든파이브,10,송파구 충민로 66
민간,서부,가산디지털,10,금천구 가산디지털1로 225
서울시설공단,서부,개화산주차장,15,강서구 방화동 845
서울시설공단,서부,고척차고지,10,구로구 고척로45길 39
서울시설공단,서부,구파발환승,10,은평구 진관동 66-30
민간,서부,남부여성발전센터,12,금천구 시흥동 산139-2
서울시설공단,서부,대림운동장,10,영등포구 대림3동 780
서울시설공단,동부,도봉산차고지,21,도봉구 도봉동 341-1
서울시설공단,동부,동대문구청,10,동대문구 용두동 39-90
서울시설공단,서부,동작주차공원,10,동작구 동작동 326
서울시설공단,동부,마들스타디움,20,노원구 덕릉로 450
서울시설공단,서부,마포유수지,39,마포구 마포동 36-1
서울시설공단,동부,면목홈플러스,45,중랑구 면목5동 168-2
서울시설공단,서부,목동주차장,18,양천구 목동 914-6
민간,동부,북서울꿈의숲,20,강북구 월계로 173
서울시설공단,동부,사당노외주차장,10,서초구 방배동 507-1
민간,서부,서남병원,10,양천구 신정이펜1로 20
민간,서부,서북병원,12,은평구 갈현로7길 49
민간,동부,서울의료원,13,중랑구 신내동 316
서울시설공단,서부,세종로주차장,8,종로구 세종로 79-10
서울시설공단,동부,수락산주차장,10,노원구 상계동 1314
서울시설공단,동부,수서주차장,21,강남구 수서동 735
민간,서부,시립은평병원,12,은평구 백년사로 90
서울시설공단,서부,신길환승,10,영등포구 영등포동1가 35
서울시설공단,서부,신림공영주차장,10,관악구 신림5동 1456-3
서울시설공단,서부,신방화차고지,10,강서구 마곡동 731-123
서울시설공단,동부,신천유수지,10,송파구 신천동 14
민간,동부,씨드큐브,29,도봉구 마들로13길 61
민간,동부,아리랑차고지,11,성북구 돈암동 538-59
서울시설공단,서부,아현역차고지,10,마포구 신촌로28길29
서울시설공단,서부,양평교차고지,19,양천구 목동 900-8
서울시설공단,동부,어린이대공원,11,광진구 능동 18
서울시설공단,동부,영동대교북단,21,성동구 성수동2가 231-24
서울시설공단,서부,영등포구청,10,영등포구 당산동3가 370-4
서울시설공단,동부,용답주차장,10,성동구 용답동 223
서울시설공단,서부,용산차고지,26,용산구 한강로2가 12-13
서울시설공단,서부,월드컵경기장,30,마포구 성산동 515-6
서울시설공단,서부,종묘지하주차장,34,종로구 훈정동 2
서울시설공단,동부,창동차고지,25,도봉구 창동 1-9
서울시설공단,서부,천왕환승,10,구로구 오류동 174-10
서울시설공단,동부,천호주차장,20,강동구 성내2동 57-7
서울시설공단,동부,한우리문화센터,10,서초구 서초동 380
서울시설공단,동부,화랑대주차장,16,중랑구 묵동 29
서울시설공단,동부,훈련원주차장,11,중구 을지로 227
